RiskTitle,ControlTitle
Unauthorized Wire Transfer,Dual Authorization Wire Review
Unauthorized Wire Transfer,Real-time Fraud Monitoring
Identity Theft in Account Opening,Customer ID Verification System
Identity Theft in Account Opening,Data Encryption Controls
Credit Risk Mispricing,Credit Scoring Model
Credit Risk Mispricing,Loan Application Verification
Card Fraud Losses,Real-time Fraud Monitoring
ATM Cash Discrepancies,Daily Cash Reconciliation
ACH Return Processing Errors,ACH Exception Processing
Unsuitable Investment Advice,Investment Suitability Assessment
Unsuitable Investment Advice,Client Risk Profiling
Liquidity Risk Management,Liquidity Stress Testing
Mortgage Compliance Violations,Mortgage Compliance Checklist
Trade Finance Documentation,Trade Documentation Review
Payment System Downtime,Payment System Monitoring
Customer Data Breach,Data Encryption Controls
Money Laundering via Wires,AML Transaction Monitoring
Money Laundering via Wires,Dual Authorization Wire Review
Loan Application Fraud,Loan Application Verification
Investment Suitability Breach,Investment Suitability Assessment 
